902 FM|mms://mediaserver2.otenet.gr/radio902gr
1055 Rock|http://www.1055rock.gr/playlist.asx
1055 Rock (2)|http://radio.onweb.gr:8078/listen.pls
9.58 - ΕΡΤ3|mms://62.103.164.228:8080/et3-958
Cool FM|http://sc.greekstream.net:4010/listen.pls
FM 100|http://78.46.46.215:7124/listen.pls
Heart FM|http://78.129.143.157:8000/heartfm
Imagine897|http://imagine.1stepstream.com:8000/live.m3u
Libero|http://74.63.48.245:8081
Off Radio|http://offradio.greekstream.net:80/
Republic|http://89.149.244.47:8500/listen.pls
RockRadio|http://83.133.127.198:9096/
RSO|http://live.isolservers.com:8200/
Safari FM|http://83.133.127.198:8989/
Star FM|http://78.129.143.157:8000/starfm
Studio 3|http://s1.onweb.gr:8408/listen.pls
Zoo Radio|http://stream.greekradios.gr:9060/listen.pls
Αθλητικό Metropolis|http://174.120.46.26:9000/listen.pls
Sunshine|http://74.63.48.245:8083/listen.pls
Ερωτικός FM|http://www.eroticos.gr/live.pls
Λυδία η Φιλιππησία|mms://energy15.egihosting.com/321488
Μελωδικός|http://stream.greekradios.gr:2042/listen.pls
Μουσικός Γαλαξίας|http://s1.onweb.gr:8034/listen.pls
Καλαμαριά FM|http://sc.greekstream.net/listen.pls
Όλα FM|http://live.isolservers.com:8300/listen.pls
Πανόραμα 9 84|mms://live.onestreaming.com/panoramafm
Παλμός|http://stream.greekradios.gr:2044/listen.pls
Παραδοσιακός Studio 3|http://s1.onweb.gr:8408/listen.pls
Πειρατικός|mms://golive.onestreaming.com/peiratikos?MSWMExt=.asf
Ράδιο Έκφραση|http://sc.greekstream.net:4012/listen.pls
Ράδιο Θεσσαλονίκη|http://178.32.72.194:8060/rthes
Ραδιοκύματα|http://s1.onweb.gr:8812/listen.pls
ΡΣ Helexpo ΔΕΘ|http://s1.onweb.gr:8436/listen.pls
Real FM|http://83.133.127.198:8999/listen.pls
Best Radio|mms://live.onestreaming.com/best947
KISS FM Crete|http://s6.onweb.gr:8032/listen.pls
Ερωτόκριτος|http://s2.onweb.gr:8652/listen.pls
Κρητικός FM|http://s1.onweb.gr:8852/listen.pls
Ράδιο Κρήτη|mms://62.1.1.141/radiokriti
Club FM|mms://live.onestreaming.com/club937
Δίαυλος Κρήτης|mms://diavlos969.live24.gr/diavlos969
Ραδιοκύματα|mms://live.onestreaming.com/radiokimata
Τάλος FM|mms://hotsoft.ws/talosfm
Magic FM|mms://hotsoft.ws:8086/magicfm
Radio 99.6|mms://live.onestreaming.com/radio996
D-code|http://s3.onweb.gr:8032/listen.pls
Νότος FM|http://s4.onweb.gr:8484/listen.pls
Enjoy Radio|http://s3.onweb.gr:8046/listen.pls
Galaxy|mms://live.onestreaming.com/galaxy1061?MSWMExt=.asf
Mojo Radio|mms://broadcast.hol.gr/mojoradio
Έντεχνος FM|http://shoutcast.24radio.gr:8068/listen.pls
Sfera|http://79.129.8.153:7020
You FM|mms://live.onestreaming.com/youfm?MSWMExt=.asf
Wave FM|http://r3.webradiostreams.com:7080/listen.pls
MFM|http://79.129.8.153:7030
Ιόνιον FM|mms://broadcast.hol.gr/IonionFMU
Master FM|http://shoutcast.24radio.gr:8014/listen.pls
Χρώμα FM|http://s6.onweb.gr:8058/listen.pls
ΣΚΑΙ Πάτρας|http://r4.webradiostreams.com:7002/listen.pls
Ραδιο Πάτρα|mms://live.onestreaming.com/radiopatra
Ωμέγα|http://www.omegafm.gr:1755/omegafm.m3u 
